Ni,Fe,Co,Ce,Overpotential
1.0,0.0,0.0,0.0,441.0
0.969,0.031,0.0,0.0,426.0
0.969,0.0,0.031,0.0,423.0
0.929,0.071,0.0,0.0,420.0
0.929,0.031,0.031,0.0,422.0
0.929,0.0,0.071,0.0,427.0
0.898,0.102,0.0,0.0,420.0
0.898,0.071,0.031,0.0,427.0
0.898,0.031,0.071,0.0,427.0
0.898,0.0,0.102,0.0,438.0
0.871,0.129,0.0,0.0,421.0
0.871,0.102,0.031,0.0,408.0
0.871,0.071,0.071,0.0,425.0
0.871,0.031,0.102,0.0,439.0
0.871,0.0,0.129,0.0,447.0
0.831,0.169,0.0,0.0,432.0
0.831,0.129,0.031,0.0,422.0
0.831,0.102,0.071,0.0,426.0
0.831,0.071,0.102,0.0,427.0
0.831,0.031,0.129,0.0,433.0
0.831,0.0,0.169,0.0,453.0
0.8,0.2,0.0,0.0,447.0
0.8,0.169,0.031,0.0,421.0
0.8,0.129,0.071,0.0,421.0
0.8,0.102,0.102,0.0,421.0
0.8,0.071,0.129,0.0,424.0
0.8,0.031,0.169,0.0,427.0
0.8,0.0,0.2,0.0,438.0
0.769,0.231,0.0,0.0,431.0
0.769,0.2,0.031,0.0,419.0
0.769,0.169,0.071,0.0,421.0
0.769,0.129,0.102,0.0,422.0
0.769,0.102,0.129,0.0,423.0
0.769,0.071,0.169,0.0,430.0
0.769,0.031,0.2,0.0,442.0
0.769,0.0,0.231,0.0,459.0
0.729,0.271,0.0,0.0,427.0
0.729,0.231,0.031,0.0,416.0
0.729,0.2,0.071,0.0,414.0
0.729,0.169,0.102,0.0,416.0
0.729,0.129,0.129,0.0,416.0
0.729,0.102,0.169,0.0,420.0
0.729,0.071,0.2,0.0,435.0
0.729,0.031,0.231,0.0,428.0
0.729,0.0,0.271,0.0,429.0
0.702,0.302,0.0,0.0,423.0
0.702,0.271,0.031,0.0,414.0
0.702,0.231,0.071,0.0,414.0
0.702,0.2,0.102,0.0,419.0
0.702,0.169,0.129,0.0,423.0
0.702,0.129,0.169,0.0,410.0
0.702,0.102,0.2,0.0,415.0
0.702,0.071,0.231,0.0,413.0
0.702,0.031,0.271,0.0,418.0
0.702,0.0,0.302,0.0,416.0
0.671,0.329,0.0,0.0,415.0
0.529,0.369,0.102,0.0,401.0
0.529,0.4,0.071,0.0,405.0
0.529,0.431,0.031,0.0,411.0
0.529,0.471,0.0,0.0,415.0
0.569,0.0,0.431,0.0,417.0
0.569,0.031,0.4,0.0,412.0
0.569,0.071,0.369,0.0,413.0
0.569,0.102,0.329,0.0,411.0
0.569,0.129,0.302,0.0,411.0
0.569,0.169,0.271,0.0,406.0
0.569,0.2,0.231,0.0,410.0
0.569,0.231,0.2,0.0,401.0
0.569,0.271,0.169,0.0,398.0
0.569,0.302,0.129,0.0,400.0
0.569,0.329,0.102,0.0,398.0
0.569,0.369,0.071,0.0,401.0
0.569,0.4,0.031,0.0,409.0
0.569,0.431,0.0,0.0,418.0
0.6,0.0,0.4,0.0,419.0
0.6,0.031,0.369,0.0,411.0
0.6,0.071,0.329,0.0,411.0
0.6,0.102,0.302,0.0,412.0
0.6,0.129,0.271,0.0,408.0
0.6,0.169,0.231,0.0,407.0
0.6,0.2,0.2,0.0,417.0
0.6,0.231,0.169,0.0,404.0
0.6,0.271,0.129,0.0,401.0
0.6,0.302,0.102,0.0,403.0
0.6,0.329,0.071,0.0,403.0
0.6,0.369,0.031,0.0,406.0
0.6,0.4,0.0,0.0,415.0
0.631,0.0,0.369,0.0,434.0
0.631,0.031,0.329,0.0,422.0
0.631,0.071,0.302,0.0,414.0
0.631,0.102,0.271,0.0,409.0
0.631,0.129,0.231,0.0,409.0
0.631,0.169,0.2,0.0,405.0
0.631,0.2,0.169,0.0,403.0
0.631,0.231,0.129,0.0,409.0
0.631,0.271,0.102,0.0,401.0
0.631,0.302,0.071,0.0,405.0
0.631,0.329,0.031,0.0,407.0
0.631,0.369,0.0,0.0,416.0
0.671,0.0,0.329,0.0,421.0
0.671,0.031,0.302,0.0,420.0
0.671,0.071,0.271,0.0,429.0
0.671,0.102,0.231,0.0,426.0
0.671,0.129,0.2,0.0,418.0
0.671,0.169,0.169,0.0,415.0
0.671,0.2,0.129,0.0,415.0
0.671,0.231,0.102,0.0,414.0
0.671,0.271,0.071,0.0,411.0
0.671,0.302,0.031,0.0,421.0
0.529,0.231,0.231,0.0,419.0
0.529,0.2,0.271,0.0,421.0
0.529,0.169,0.302,0.0,421.0
0.529,0.129,0.329,0.0,422.0
0.529,0.102,0.369,0.0,412.0
0.529,0.071,0.4,0.0,421.0
0.529,0.031,0.431,0.0,424.0
0.529,0.0,0.471,0.0,433.0
0.498,0.498,0.0,0.0,413.0
0.498,0.471,0.031,0.0,412.0
0.498,0.431,0.071,0.0,402.0
0.498,0.4,0.102,0.0,398.0
